DATE,OHLC_OPEN,OHLC_HIGH,OHLC_LOW,OHLC_CLOSE,VOLUME,5D_MAVG,10D_MAVG
2015-06-23,127.48,127.61,126.88,127.03,30268863,127.398,127.597
2015-06-22,127.49,128.06,127.08,127.61,34039345,127.26,127.616
2015-06-19,127.71,127.82,126.4,126.6,54716887,127.374,127.821
2015-06-18,127.23,128.31,127.22,127.88,35407220,127.516,127.969
2015-06-17,127.72,127.88,126.74,127.3,32918071,127.832,128.251
2015-06-16,127.03,127.85,126.37,127.6,31494131,127.796,128.487
2015-06-15,126.1,127.24,125.71,126.92,43988946,127.972,128.849
2015-06-12,128.18,128.33,127.11,127.17,36886246,128.268,129.16
2015-06-11,129.18,130.18,128.48,128.59,35390887,128.422,129.479
2015-06-10,127.92,129.34,127.85,128.88,39087250,128.67,129.795
2015-06-09,126.7,128.08,125.62,127.42,56075420,129.178,130.015
2015-06-08,128.9,129.21,126.83,127.8,52674786,129.726,130.489
2015-06-05,129.5,129.69,128.36,128.65,35626800,130.052,130.763
2015-06-04,129.58,130.58,128.91,129.36,38450118,130.536,130.833
2015-06-03,130.66,130.94,129.9,130.12,30983542,130.92,130.828
2015-06-02,129.86,130.66,129.32,129.96,33667627,130.852,130.851
2015-06-01,130.28,131.39,130.05,130.54,32112797,131.252,130.674
2015-05-29,131.23,131.45,129.9,130.28,50884452,131.474,130.541
2015-05-28,131.86,131.95,131.1,131.78,30733309,131.13,129.964
2015-05-27,130.34,132.26,130.05,132.04,45833246,130.736,129.346
2015-05-26,132.6,132.91,129.12,129.62,70697560,130.85,129.016
2015-05-22,131.6,132.97,131.4,132.54,45595972,130.096,128.524
2015-05-21,130.07,131.63,129.83,131.39,39730364,129.608,127.911
2015-05-20,130,130.98,129.34,130.06,36454932,128.798,127.406
2015-05-19,130.69,130.88,129.64,130.07,44633240,127.956,126.979
2015-05-18,128.38,130.72,128.36,130.19,50882918,127.182,126.83
2015-05-15,129.07,129.49,128.21,128.77,38208034,126.952,126.848
2015-05-14,127.41,128.95,127.16,128.95,45203456,126.214,126.468
2015-05-13,126.15,127.19,125.87,126.01,34694235,126.014,126.731
2015-05-12,125.6,126.88,124.82,125.86,48160032,126.002,127.201
2015-05-11,127.39,127.56,125.62,126.32,42035757,126.478,127.834
2015-05-08,126.68,127.62,126.11,127.62,55550382,126.744,128.1
2015-05-07,124.77,126.08,124.02,125.26,43940895,126.722,128.541
2015-05-06,126.56,126.75,123.36,125.01,72141010,127.448,128.902
2015-05-05,128.15,128.45,125.78,125.8,49271416,128.4,129.013
2015-05-04,129.5,130.57,128.26,128.7,50988278,129.19,128.903
2015-05-01,126.1,130.13,125.3,128.95,58512638,129.456,128.483
2015-04-30,128.64,127.88,124.58,125.15,83195423,130.36,128.585
2015-04-29,130.16,131.59,128.3,128.64,63386083,130.356,128.399
2015-04-28,134.46,134.54,129.57,130.56,118923970,129.626,127.973
2015-04-27,132.31,133.13,131.15,132.65,96954207,128.616,127.393
2015-04-24,130.49,130.63,129.23,130.28,44525905,127.51,127.075
2015-04-23,128.3,130.42,128.14,129.67,45770902,126.81,126.764
2015-04-22,126.99,128.87,126.32,128.62,37654505,126.442,126.462
2015-04-21,128.1,128.2,126.67,126.91,32435057,126.32,126.372
2015-04-20,125.57,128.12,125.17,127.6,47054310,126.17,126.347
2015-04-17,125.55,126.14,124.46,124.75,51957046,126.64,126.404
2015-04-16,126.28,127.1,126.11,126.17,28368987,126.718,126.212
2015-04-15,126.41,127.13,126.01,126.78,28970419,126.482,125.977
2015-04-14,127,127.29,125.91,126.3,25524593,126.424,125.984
2015-04-13,128.37,128.57,126.61,126.85,36365123,126.524,125.624
2015-04-10,125.95,127.21,125.26,127.1,40187953,126.168,125.338
2015-04-09,125.85,126.58,124.66,126.56,32483974,125.706,125.02
2015-04-08,125.85,126.4,124.97,125.6,37329243,125.472,
2015-04-07,127.64,128.12,125.98,126.01,35012268,125.544,
2015-04-06,124.47,127.51,124.33,127.35,37193975,124.724,
2015-04-02,125.03,125.56,124.19,125.32,32220131,124.508,
2015-04-01,124.82,125.12,123.1,124.25,40621437,124.334,
2015-03-31,126.09,126.49,124.36,124.43,42090553,,
2015-03-30,124.05,126.4,124,126.37,47099670,,
2015-03-27,124.57,124.7,122.91,123.25,39546151,,
2015-03-26,122.76,124.88,122.6,124.24,47572869,,
2015-03-25,126.54,126.82,123.38,123.38,51655177,,
